autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Fritz Riemann	Astrologie	Lebenshilfe Astrologie	2007	1976	80-7178-839-2.jpg	astrologie	Známý psychoanalytik Fritz Riemann předkládá vlastní zkušenosti s odpovědným astrologickým poradenstvím. Smysluplné využití astrologických výkladů vidí v možnosti porozumět sobě či druhým, v uvědomění si východisek, možností a nebezpečí, kterým je člověk vystaven, v žádném případě však ve fatalistickém předpovídání štěstí či neštěstí člověka. Riemann se jasně vymezuje vůči tzv. prognostické astrologii a stanovuje jistá omezení, kterým výklad horoskopů podléhá. Pozoruhodné je jeho propojení psychoanalytických a astrologických konceptů či práce se symbolickými obsahy v astrologii, jež se liší od přístupu přírodovědního.
Ken Kesey	Vyhoďme ho z kola ven	One Flew Over the Cuckoo's Nest	2008	1962	978-80-257-0265-9.jpg	beletrie	Nové vydání nejúspěšnějšího románu amerického autora, který se v 60. letech stal spisovatelskou ikonou květinových dětí. Kesey vypráví příběh nezkrotného opozičníka McMurphyho, muže, který radši než do pracovního tábora nastoupí do sanatoria pro choromyslné a začne tu zavádět vlastní, svobodnější pravidla života. Protivníkem je mu sestra Ratchedová, která by šla přes mrtvoly, jenom aby zákon a předpisy nikdo nepřekračoval. Nezkrotný McMurphy se jí postaví i za cenu té nejvyšší oběti, aby svým spolupacientům (spoluvězňům) dokázal, že vnitřní svoboda je nezcizitelná. Filmová adaptace režiséra Miloš Formanovi z roku 1975 získala pět Oscarů (Přelet nad kukaččím hnízdem).
Francis Fukuyama	Velký rozvrat	The Great Disruption	2008	1999	80-200-1438-1.jpg	socio-ekonomie	Vývoj, jímž v posledním půlstoletí prošly Spojené státy a postupně i další hospodářsky vyspělé země bývá nazýván přechodem k 'informační společnosti', 'třetí vlnou', která může mít stejně zásadní důsledky jako přechod od společnosti zemědělské ke společnosti průmyslové. Vymoženosti, jimiž nás obdařil hospodářský systém spočívající na informacích, měly negativní vliv na náš společenský život a morálku. Věc má ale i kladnou stránku: rozvrácený společenský řád se obvykle začne opravovat, a z mnoha náznaků lze usoudit, že to se právě dnes děje. Kniha se zabývá tím, jak společenský řád vzniká, jak se vyvíjí a odkud pocházejí jeho zdroje.
Jack Kerouac	Na cestě	On the Road	2008	1957	80-7203-719-6.jpg	beletrie	Román z roku 1957, který autorovi přinesl obrovskou popularitu i uznání kritiky a učinil z něj legendu.
Ray Kurzweil, Terry Grossman	Fantastická cesta	Fantastic Voyage	2008	2004	80-7263-392-0.jpg	body	V této knize její autoři spojili své síly, aby se zabývali úžasným přínosem slibného vývoje lékařské vědy pro lidské zdraví a délku života i tím, co můžete udělat už dnes, abyste plně využili tohoto překvapivého pokroku.
Jü Chua	Dva liangy rýžového vína	Xu Sanguan mai xue ji	2008	1995	978-80-7363-135-2.jpg	beletrie	Jü Chuův román je sondou do života obyčejného čínského člověka v období hospodářského experimentu Velkého skoku, následujícího hladomoru, chaotického období Kulturní revoluce a postupného otevírání Číny na konci 70. let 20. století. V dobách hladu je pro továrního dělníka Xu Sanguana prodej krve místní nemocnici často jediným způsobem, jak uživit rodinu. Uchyluje se k němu pokaždé, když se jeho rodina ocitne vinou politických a hospodářských katastrof na mizině. Situace se zhoršuje a Xu Sanguan stále častějším prodejem ohrožuje své zdraví. Kromě těchto problémů se dostává i do krize osobní... Krev je v románu nejen obchodovaným zbožím, ale také symbolem oběti, vazby mezi manželi a vazby mezi otcem a synem
Elisabeth Castro	HTML, XHTML a CSS	HTML, XHTML and CSS	2008	2007	978-80-251-1531-2.jpg	it	Šesté vydání světového bestselleru, jehož se ve světě v předchozích vydáních prodalo více než milion výtisků, je nejobsáhlejší moderní příručkou k tvorbě webových stránek na našem trhu.
Petr Vostrý	Macromedia Dreamweaver 4	Macromedia Dreamweaver 4	2008	2001	80-7226-563-6.jpg	it	Uživatelská příručka.
Karel Nešpor	Zůstat střízlivý	Zůstat střízlivý	2008	2006	80-7294-206-9.jpg	body	Kniha je určena širokému okruhu čtenářů. Patří mezi ně ti, kterým alkohol působí potíže, i ti, kdo mají problém s alkoholem v rodině. Kniha se dá použít jako svépomocná příručka i jako doplněk léčby prováděné profesionály. Lidí závislých alkoholu může být v Česku kolem 300 tisíc. Těch, kdo závislí nejsou, ale pitím si škodí, je mnohem více. Alkoholem trpí i lidé v okolí: manželky nebo manželé, děti, rodiče a spolupracovníci. Text je psán jasně a srozumitelně a doplněn řadou zajímavostí a příkladů z praxe. O tom, že jsou tištěné materiály v prevenci a léčbě prospěšné, svědčí zkušenosti z USA, Velké Británie nebo Austrálie. Autora o tom navíc přesvědčila i odezva na jeho předchozí publikace podobného zaměření.
Robert Bly	Železný Jan	Iron John	2008	1990	80-7203-659-9.jpg	mytologie, psychologie, gender	Za osu knihy si americký básník vybral pohádku bratří Grimmů Železný Jan a toto téměř mytologické vyprávění mu slouží jako podpůrná konstrukce pro jeho úvahy o jednotlivých fázích života, o zkouškách a prozřeních, kterými by měl procházet každý opravdový muž, chce-li být nejen navenek, ale i vnitřně šťasten, a snaží se v ní vykreslit archetyp muže, vystopovat ty rysy, které má dnešní muž společné s mužem, jenž žil na zemi už dávno před Kristem, stejně jako ty, o které s postupující civilizací přišel. Kniha měla obrovský ohlas v USA i v zahraničí a je dnes, jen pouhých osm let po svém vydání, klasickým dílem o mužské identitě, v němž hledají inspiraci jak muži, tak i ženy.
Iva Stuchlíková	Základy psychologie emocí	Základy psychologie emocí	2008	2002	80-7178-553-9.jpg	psychologie	Oblast psychologie emocí byla poměrně dlouhou dobu opomíjena, ale v posledních letech prochází bouřlivým vývojem.Po stručném historickém úvodu je hlavní část práce věnována novým teoretickým přístupům (emocionální expresi, kognitivním přístupům a některým neuropsychologickým nálezům) i praktickým aplikačním otázkám. Těžištěm knihy je problematika soudobého chápání funkcí emocí v našem životě (souvislosti intrapsychické, sociální a vývojové), otázky regulace kontroly a zvládání emocí (včetně vztahu emocí k našemu psychickému a fyzickému zdraví) a emocionální ovlivňování našich poznávacích procesů (změny v našem vnímání, paměti, usuzování a rozhodování, řešení problémů a učení způsobené aktuálními emocionálními stavy). Důležitou část práce představuje přiblížení dynamiky vybraných základních emocí jako jsou radost, náklonnost, strach, hněv, smutek, překvapení apod.
Krishna Dharma, Vjása	Mahábhárata	Mahabharata: The Greatest Spiritual Epic of All Time	2008	1999	91-7149-456-1.jpg	duchovní, jóga	Mahábhárata (= velké vyprávění o Bharatovcích) je rozsáhlý staroindický epos o 110 000 dvojverších. Jedná se pravděpodobně o nejrozsáhlejší literární dílo na světě. Epos obsahuje myšlenky náboženského, filozofického a mytologického významu. Za zmínku též stojí, že jeho součástí je slavná Bhagavadgíta, která obsahuje nábožensko-filozofický dialog mezi Ardžunou a Krišnou, který je považován za nejvyššího Boha. Díky tomu, že Krišna je jednou z postav Mahábháraty, je celý text tradičně považován za posvátné písmo.
Robert Holdstock	Brána ze slonoviny	Gate of Ivory, Gate of Horn	2008	1997	80-85911-37-X.jpg	beletrie, scifi-fantasy	6. kniha série Les mytág.
Slavoj Žižek	Nepolapitelný subjekt	Ticklish subject	2008	1997	978-80-87127-02-5.jpg	filozofie	Slavoj Žižek je snad nejobjevnější a nejprovokativnější filosof současnosti. Jeho knihy vyvolávají pozornost po celém světě – nejen filosofů, nýbrž široké veřejnosti. Má pověst akademické ,pop-star.‘ Tato kniha představuje jeho stěžejní filosofickou práci, ve které vášnivě obhajuje karteziánský subjekt proti všem, kteří ho již odsoudili – heideggeriáni, dekonstruktivisté, habermasovci, ,culture studies‘, ,New age.‘ Při své obhajobě aktualizuje sv. Pavla, Hegela, Marxe, Lenina a Lacana a s bravurní lehkostí využívá pop-kulturu i obscénní vtipy. Jeho psaní je nabité energií a explozivní. Odhaluje, že po konci ,karteziánského paradigmatu‘ nepřichází slibované osvobození, ale nové formy spoutání vznikající v postmoderní, liberální společnosti. Žižek se snaží ukázat, jak se dostat z mrtvého bodu, na němž se ocitla dnešní filozofie i politika.
Václav Krejčí	Design grafiky GUI	Design grafiky GUI	2008	2008	978-80-247-2011-1.jpg	art-design, it	Zkuste si na vlastní kůži jaké je to tvořit grafiku uživatelského rozhraní (GUI) v programu Adobe Photoshop. Ponořte se do tajů uživatelsky přívětivých a srozumitelných aplikací, poznejte v čem tkví úspěšnost grafiky a jaké jsou zásady správné tvorby GUI.
Gaganová Jeanette M.	Putování	Journeying: Where Shamanism and Psychology Meet	2008	1998	978-80-8645-943-1.jpg	duchovní, šamanismus	Tato jedinečná kniha, která posouvá psychoterapii kupředu, čerpá z úrodné půdy psychologie a historického lůna šamanismu. Jedná se o průkopnické a odvážné dílo, které by si měli přečíst jak psychoterapeuti i praktikanti šamanismu, tak lidé zajímající se o vlastní růst. Kniha obsahuje i konkrétní případy objasňující použití šamanských praktik v psychoterapii a jejich teoretické vysvětlení pomocí moderních vědeckých studií. Je to práce, která sklízí pouze chválu, a to jak od odborníků západního světa, tak i od indiánských šamanů a starešinů.
Amy Wallace	Čarodějova učednice	Sorcerer's Apprentice: My Life with Carlos Castaneda	2008	2003	80-86459-47-0.jpg	duchovní, šamanismus	Autobiografie americké spisovatelky o soužití s Carlosem Castanedou.
Jan Stern	Média, psychoanalýza a jiné perverze	Média, psychoanalýza a jiné perverze	2008	2006	80-86702-13-8.jpg	psychologie	Soubor esejů a studií o tajemství reklamy, lidské sexuality, pohádek, výkalů a žen.
Jan Poněšický	Fenomén ženství a mužství	Fenomén ženství a mužství	2008	2008	978-80-7387-546-6.jpg	psychologie, gender	Vysvětlení základních rozdílů mezi muži a ženami na základě jejich odlišného psychického vývoje.
Jan Raboch	Očima sexuologa	Očima sexuologa	2008	1977	08-015-77.jpg	body	Na základě mnohaletých výzkumů pojednává autor přístupnou formou o některých otázkách lidské sexuality. Zabývá se sexualitou dětí, dospívajících, mužů i žen, jejími poruchami, otázkami stárnutí a vlivem rodinného prostředívevztahu k sexuální aktivitě. Věnuje rovněž pozornost prostituci, příčinám neplodnosti, problémům antikoncepce, sexuální výchově apod.
Ly de Angeles	Cesta čarodějky	Witchcraft Theory and Practice	2008	2000	80-86459-35-7.jpg	duchovní	Předkládaná publikace je manuálem čarodějnictví a vysvětlením toho, jak a proč funguje magie. Naleznete zde osvědčené metody posilování a upevňování magické vůle, včetně potřebných cvičení, rituálních návodů a technik.
Pjotr Demjanovič Uspenskij	Psychologie možného vývoje člověka	The Psychology of Man’s Possible Evolution	2008	1950	80-902395-0-1.jpg	duchovní, gurdžijev	Soubor přednášek o původu a významu psychologie jako vědy o 'možném vývoji člověka'.
Haruki Murakami	Norské dřevo	Noruwei no mori	2008	1987	80-207-1193-7.jpg	beletrie	V románu nejvýznamnějšího japonského spisovatele současnosti se skrývá fantastický, romantický i tragický milostný příběh. Čtenář však „neunikne“ směsici japonských reálií, psychologickým portrétům hrdinů ani scénám vášně a nespoutaného sexu. Román vyšel japonsky r. 1987, byl přeložen do 36 jazyků a celkově se ho prodalo přes 9 milionů výtisků.
James Hillman	Sny a podsvětí	The dream and the underworld	2008	1973	8071783013.jpg	psychologie, sny, jung	Vychází z klasických teorií, ale obohacuje je o nový přístup čerpající z poetiky mytologie. Spojuje sny zejména s temnou stránkou duše, jejími představami a stíny, s obrazy smrti. Na teoretickou část knihy, která je prokládána množstvím příkladů z mýtů, navazuje konkrétní rozbor jednotlivých snových symbolů.
